ID,flock_number,birth_year,palpation_before,body_development,CUT_before,DIB_placement,DIB_extraction,reproduction_type,reproduction_execution,palpation_after,CUT_after,reproduction_released,brood_sex,DIB_placement_count,DIB_extraction_count,success_insemination_count,fail_insemination_count,success_natural_count,fail_natural_count,pregnant_after_insemination_count,empty_after_insemination_count,pregnant_after_natural_count,empty_after_natural_count
596,3040,2013,Vacia,NULL,NULL,NULL,NULL,Natural,27/11/2015,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
597,3042,2013,Vacia,NULL,NULL,NULL,NULL,Natural,27/11/2015,Preñada,NULL,03/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
598,3046,2013,Vacia,NULL,NULL,NULL,NULL,Natural,27/11/2015,Preñada,NULL,27/09/2016,NULL,0,0,0,0,0,0,0,0,0,0
599,3067,2013,Vacia,NULL,NULL,NULL,NULL,Natural,27/11/2015,Preñada,NULL,03/10/2016,NULL,1,0,0,0,0,0,0,0,0,0
600,3068,2013,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,26/09/2016,NULL,0,0,0,0,0,0,0,0,0,0
601,3072,2013,Vacia,NULL,NULL,NULL,NULL,Natural,27/11/2015,Preñada,NULL,13/11/2016,NULL,0,0,0,0,0,0,0,0,0,0
602,3076,2013,Vacia,NULL,NULL,NULL,NULL,Natural,27/11/2015,Vacia,NULL,12/03/2017,NULL,0,0,0,0,0,0,0,0,0,0
603,3101,2013,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,29/08/2016,NULL,0,0,0,0,0,0,0,0,0,0
604,3396,2013,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,25/08/2016,NULL,0,0,0,0,0,0,0,0,0,0
605,3399,2013,Vacia,NULL,NULL,NULL,NULL,Natural,27/11/2015,Preñada,NULL,06/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
606,8410,2008,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,05/11/2016,NULL,0,0,0,0,0,0,0,0,0,0
607,9118,2009,Vacia,NULL,NULL,NULL,NULL,Inseminacion,22/12/2015,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
608,9138,2009,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,31/08/2016,NULL,1,1,0,1,0,0,0,1,0,0
609,9220,2009,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,21/09/2016,NULL,0,0,0,0,0,0,0,0,0,0
610,50,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,27/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
611,139,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,10/11/2016,NULL,0,0,0,0,0,0,0,0,0,0
612,153,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,NULL,NULL,1,1,1,0,0,0,1,0,0,0
613,166,2010,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,29/08/2016,NULL,0,0,0,0,0,2,0,0,0,2
614,200,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,28/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
615,205,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,20/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
616,214,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,24/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
617,223,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,29/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
618,230,2010,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,23/08/2016,NULL,1,1,0,1,0,0,1,0,0,0
619,240,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,22/11/2016,NULL,1,1,1,0,0,0,1,0,0,0
620,244,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,19/11/2016,NULL,1,1,1,0,0,0,1,0,0,0
621,266,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,29/10/2016,NULL,1,1,1,0,0,0,1,0,0,0
622,1007,2011,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,25/08/2016,NULL,1,1,0,1,0,1,0,1,0,1
623,1019,2011,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,07/09/2016,NULL,0,0,0,0,0,1,0,0,0,1
624,1034,2011,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,NULL,NULL,1,1,0,1,0,1,0,1,0,1
